Date,ISO Codes,State/UnionTerritory,Confirmed,Active,Cured,Deaths,Active Ratio,Recovery Ratio,Case Fatalility Ratio
"January 30, 2020",IN-KL,Kerala,1,1,0,0,1,0,0
"January 31, 2020",IN-KL,Kerala,1,1,0,0,1,0,0
"February 01, 2020",IN-KL,Kerala,2,2,0,0,1,0,0
"February 02, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 03, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 04, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 05, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 06, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 07, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 08, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 09, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 10, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 11, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 12, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 13, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 14, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 15, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 16, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 17, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 18, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 19, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 20, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 21, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 22, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 23, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 24, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 25, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 26, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
"February 27, 2020",IN-KL,Kerala,3,3,0,0,1,0,0
